index,movie_id,title,user_id,rating
248,1,Toy Story (1995),761,1
249,1,Toy Story (1995),634,3
250,1,Toy Story (1995),807,4
251,1,Toy Story (1995),554,3
252,1,Toy Story (1995),790,3
253,1,Toy Story (1995),503,5
254,1,Toy Story (1995),486,4
255,1,Toy Story (1995),632,3
256,1,Toy Story (1995),804,5
257,1,Toy Story (1995),650,3
258,1,Toy Story (1995),831,4
259,1,Toy Story (1995),654,4
260,1,Toy Story (1995),493,3
261,1,Toy Story (1995),365,4
262,1,Toy Story (1995),710,4
263,1,Toy Story (1995),612,4
264,1,Toy Story (1995),610,4
265,1,Toy Story (1995),468,5
266,1,Toy Story (1995),296,5
267,1,Toy Story (1995),723,3
268,1,Toy Story (1995),168,5
269,1,Toy Story (1995),130,5
270,1,Toy Story (1995),488,3
271,1,Toy Story (1995),621,3
272,1,Toy Story (1995),868,4
273,1,Toy Story (1995),678,5
274,1,Toy Story (1995),663,4
275,1,Toy Story (1995),424,1
276,1,Toy Story (1995),597,3
277,1,Toy Story (1995),669,5
278,1,Toy Story (1995),885,5
279,1,Toy Story (1995),756,4
280,1,Toy Story (1995),788,3
281,1,Toy Story (1995),79,4
282,1,Toy Story (1995),727,3
283,1,Toy Story (1995),879,4
284,1,Toy Story (1995),897,5
285,1,Toy Story (1995),796,2
286,1,Toy Story (1995),887,5
287,1,Toy Story (1995),746,4
288,1,Toy Story (1995),602,4
289,1,Toy Story (1995),771,5
290,1,Toy Story (1995),580,3
291,1,Toy Story (1995),794,4
292,1,Toy Story (1995),759,5
293,1,Toy Story (1995),411,4
294,1,Toy Story (1995),872,3
295,1,Toy Story (1995),821,5
296,1,Toy Story (1995),624,4
297,1,Toy Story (1995),388,5
298,1,Toy Story (1995),744,4
299,1,Toy Story (1995),25,5
300,1,Toy Story (1995),438,4
301,1,Toy Story (1995),883,3
302,1,Toy Story (1995),921,3
303,1,Toy Story (1995),216,4
304,1,Toy Story (1995),138,4
305,1,Toy Story (1995),295,4
306,1,Toy Story (1995),789,3
307,1,Toy Story (1995),886,4
308,1,Toy Story (1995),303,5
309,1,Toy Story (1995),336,3
310,1,Toy Story (1995),893,5
311,1,Toy Story (1995),550,3
312,1,Toy Story (1995),792,4
313,1,Toy Story (1995),823,4
314,1,Toy Story (1995),773,3
315,1,Toy Story (1995),896,4
316,1,Toy Story (1995),864,5
317,1,Toy Story (1995),715,5
318,1,Toy Story (1995),913,2
319,1,Toy Story (1995),458,4
320,1,Toy Story (1995),742,4
321,1,Toy Story (1995),830,4
322,1,Toy Story (1995),733,2
323,1,Toy Story (1995),518,4
324,1,Toy Story (1995),293,2
325,1,Toy Story (1995),463,1
326,1,Toy Story (1995),630,4
327,1,Toy Story (1995),929,3
328,1,Toy Story (1995),714,3
329,1,Toy Story (1995),679,3
330,1,Toy Story (1995),924,5
331,1,Toy Story (1995),210,5
332,1,Toy Story (1995),660,3
333,1,Toy Story (1995),698,4
334,1,Toy Story (1995),764,4
335,1,Toy Story (1995),805,4
336,1,Toy Story (1995),665,4
337,1,Toy Story (1995),58,5
338,1,Toy Story (1995),251,4
339,1,Toy Story (1995),549,5
340,1,Toy Story (1995),751,3
341,1,Toy Story (1995),785,4
342,1,Toy Story (1995),609,1
343,1,Toy Story (1995),903,3
344,1,Toy Story (1995),703,4
345,1,Toy Story (1995),72,4
346,1,Toy Story (1995),826,4
347,1,Toy Story (1995),314,5
348,1,Toy Story (1995),916,4
349,1,Toy Story (1995),933,3
350,1,Toy Story (1995),387,4
351,1,Toy Story (1995),108,4
352,1,Toy Story (1995),389,4
353,1,Toy Story (1995),553,3
354,1,Toy Story (1995),182,4
355,1,Toy Story (1995),919,4
356,1,Toy Story (1995),403,4
357,1,Toy Story (1995),661,5
358,1,Toy Story (1995),815,5
359,1,Toy Story (1995),854,3
360,1,Toy Story (1995),331,1
361,1,Toy Story (1995),890,4
362,1,Toy Story (1995),124,3
363,1,Toy Story (1995),882,5
364,1,Toy Story (1995),779,4
365,1,Toy Story (1995),542,4
366,1,Toy Story (1995),852,4
367,1,Toy Story (1995),605,4
368,1,Toy Story (1995),399,4
369,1,Toy Story (1995),294,5
370,1,Toy Story (1995),870,5
371,1,Toy Story (1995),277,4
372,1,Toy Story (1995),690,4
373,1,Toy Story (1995),537,2
374,1,Toy Story (1995),838,5
375,1,Toy Story (1995),412,4
376,1,Toy Story (1995),653,4
377,1,Toy Story (1995),847,3
378,1,Toy Story (1995),201,3
379,1,Toy Story (1995),606,5
380,1,Toy Story (1995),881,4
381,1,Toy Story (1995),769,4
382,1,Toy Story (1995),664,4
383,1,Toy Story (1995),918,3
384,1,Toy Story (1995),576,4
385,1,Toy Story (1995),680,4
386,1,Toy Story (1995),536,5
387,1,Toy Story (1995),889,3
388,1,Toy Story (1995),57,5
389,1,Toy Story (1995),393,3
390,1,Toy Story (1995),521,2
391,1,Toy Story (1995),745,2
392,1,Toy Story (1995),726,4
393,1,Toy Story (1995),867,4
394,1,Toy Story (1995),70,4
395,1,Toy Story (1995),419,4
396,1,Toy Story (1995),922,5
397,1,Toy Story (1995),894,4
398,1,Toy Story (1995),599,4
399,1,Toy Story (1995),910,4
400,1,Toy Story (1995),829,4
401,1,Toy Story (1995),738,5
402,1,Toy Story (1995),901,5
403,1,Toy Story (1995),795,4
404,1,Toy Story (1995),843,3
405,1,Toy Story (1995),102,3
406,1,Toy Story (1995),757,4
407,1,Toy Story (1995),930,3
408,1,Toy Story (1995),899,3
409,1,Toy Story (1995),730,4
410,1,Toy Story (1995),121,4
411,1,Toy Story (1995),548,4
412,1,Toy Story (1995),936,4
413,1,Toy Story (1995),457,4
414,1,Toy Story (1995),793,4
415,1,Toy Story (1995),767,5
416,1,Toy Story (1995),806,4
417,1,Toy Story (1995),934,2
418,1,Toy Story (1995),822,4
419,1,Toy Story (1995),689,3
420,1,Toy Story (1995),935,3
421,1,Toy Story (1995),839,4
422,1,Toy Story (1995),495,4
423,1,Toy Story (1995),582,4
424,1,Toy Story (1995),892,5
425,1,Toy Story (1995),701,4
426,1,Toy Story (1995),721,5
427,1,Toy Story (1995),880,4
428,1,Toy Story (1995),927,5
429,1,Toy Story (1995),434,4
430,1,Toy Story (1995),865,1
431,1,Toy Story (1995),552,3
432,1,Toy Story (1995),923,3
433,1,Toy Story (1995),692,4
434,1,Toy Story (1995),917,3
435,1,Toy Story (1995),21,5
436,1,Toy Story (1995),902,5
437,1,Toy Story (1995),748,4
